Condition ID,Description,Control,Time (min),PMID,Organism,Biological Sample,Labelling Type,Labelling Method,Spectrometer,Enrichment,Condition label,Total Sites In Atlas
1409_286,fulvestrant,captopril,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_captopril,2443
1410_286,captopril,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,captopril,2443
1411_286,clindamycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_DMSO,2452
1412_286,clindamycin,ambroxol,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_ambroxol,2456
1413_286,ambroxol,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,ambroxol,2449
1414_286,chlortetracycline,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlortetracycline_vs_DMSO,2266
1415_286,chlortetracycline,paclitaxel,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlortetracycline_vs_paclitaxel,2266
1416_286,paclitaxel,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,paclitaxel,2269
1417_286,chlorzoxazone,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlorzoxazone_vs_DMSO,2461
1418_286,chlorzoxazone,carmustine,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,chlorzoxazone_vs_carmustine,2459
1419_286,carmustine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,carmustine,2465
1422_286,doxorubicin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,doxorubicin,2514
1423_286,staurosporine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,staurosporine_vs_DMSO,2393
1424_286,staurosporine,daunorubicin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,staurosporine_vs_daunorubicin,2395
1425_286,daunorubicin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,daunorubicin,2402
1426_286,irinotecan,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,irinotecan_vs_DMSO,2395
1427_286,irinotecan,dexverapamil,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,irinotecan_vs_dexverapamil,2394
1428_286,dexverapamil,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,dexverapamil,2408
1429_286,scriptaid,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,scriptaid_vs_DMSO,2457
1430_286,scriptaid,mesalazine,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,scriptaid_vs_mesalazine,2458
1431_286,mesalazine,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,mesalazine,2460
1432_286,trichostatin A,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,trichostatin A_vs_DMSO,2168
1433_286,trichostatin A,anisomycin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,trichostatin A_vs_anisomycin,2166
1434_286,anisomycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,anisomycin,2169
1437_286,digitoxigenin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digitoxigenin,2519
1438_286,valproic acid,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,valproic acid_vs_DMSO,2150
1439_286,valproic acid,digoxigenin,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,valproic acid_vs_digoxigenin,2150
1440_286,digoxigenin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digoxigenin,2152
1443_286,digoxin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,digoxin,2349
1444_286,geldanamycin,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,geldanamycin_vs_DMSO,2317
1445_286,geldanamycin,Lanatoside C,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,geldanamycin_vs_Lanatoside C,2318
1446_286,Lanatoside C,DMSO,,26912667,9606,AML HL-60,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,Lanatoside C,2315
1447_287,fulvestrant,DMSO,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_DMSO,1828
1448_287,fulvestrant,captopril,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,fulvestrant_vs_captopril,1829
1449_287,captopril,DMSO,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,captopril,1829
1450_287,clindamycin,DMSO,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_DMSO,1834
1451_287,clindamycin,ambroxol,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,clindamycin_vs_ambroxol,1834
1452_287,ambroxol,DMSO,,26912667,9606,MCF7,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,ambroxol,1834
